MODULE,MODULE_TITLE,MODULE_TYPE
ES1950,Materials for Engineering,NA
ES1960,Statics and Structures,NA
ES2C50,Dynamics and Fluid Mechanics,NA
ES2C60,Electromechanical System Design,NA
ES2C70,Engineering Mathematics and Data Analytics,NA
ES2D00,Industrial Engineering,NA
ES2D80,Technical Operations Management,NA
ES2D30,Motor Vehicle Technology,NA
CS1420,Visulisation,NA
PX2790,The Solar System,NA
PX3900,Scientific Computing,NA
CS2570,Advanced Computer Architecture,NA
PH1360,Logic 1: Introduction to Symbolic Logic,NA
LA3810,Writing Human Rights,NA
LA3980,History of the Philosophy of Law,NA
FI2510,Post-Classical Hollywood,NA
FI2490,Classical Hollywood,NA
IB2C70,The Transformed Workplace-Managing in the Digital Era,NA
LL2B80,Russian Beginners (Extra),NA
HI2F40,Modern China in Eight Events,NA
LL2C40,Korean Beginners Accelerated,NA
CS3310,Neural Computing,NA
CS1420,Visualisation,NA
GE2030,Modern German Language 2,NA
ET2120,Intercultural Business Communication,NA
IB2C60,"Global Environment of Business (AISP)",NA
ST1110,Probability (Part A),NA
ST1120,Probability (Part B),NA
MA2500,Partial Differential Equations,NA
MA2600,"Norms, Metrics and Topologies",NA
PX2770,Computational Physics,NA
PX2800,Environmental Physics,NA
PX3890,Cosmology,NA
PX3970,Galaxies,NA
PX3870,Astrophysics,NA
LL1A90,Introduction to Spanish Language,NA
LL1A30,Introduction to French Language,NA
EC2390,Economics 2: Macroeconomics 1,NA
IL0140,Global Connections,NA
LL2B10,Chinese Beginners (Extra),NA
LA2390,Human Rights in Practice,NA
FR2010,Modern French Language II,NA
PO21Q0,Replication in Quantitative Political Analysis,NA
SO2490,Becoming Yourself: The Construction of the Self in Contemporary Western,NA
PO2220,Politics of Contemporary China,NA
PH382,Democracy & Authority,NA
PH3A90,Philosophy of Nature,NA
ST2210,Linear Statistical Modelling,NA
IB1500,Foundations of Data Analysis for Management,NA
IB1490,"Introduction to Statistics",NA
EC3010,Mathematical Economics 2,NA
SO1260,Class and Capitalism in the Neoliberal World,NA
PS3740,Aggression and Violence,NA
PS2100,Language and Cognition,NA
PO3A80,Race and International Politics,NA
SO2540,"Media, Audiences and Social Change",NA
IB0130,Business Consulting,NA
IB0110,Introducing Accounting and Finance,NA
IB0120,Maths for Management,NA
IBWELF,Welcome and Induction,NA
IB9V00,Corporate Finance,NA
IB9Y60,Empirical Finance,NA
IB9CFM,Research Methods,NA
